;legend;color;marker;linestyle
Coal;Coal;#0c0c0c;;
Gas;Gas;#999959;;
Non-Biomass Renewables;Non-Biomass;#7f7f7f;;
Nuclear;Nuclear;#ff33ff;;
Solar;Solar;#ffcc00;;
Wind;Wind;#337fff;;
Wind|Onshore;Wind Onshore;#337fff;;
Wind|Offshore;Wind Offshore;#334cff;;
Hydro;Hydro;#191999;;
Geothermal;Geothermal;#e51900;;
Net Import;Net Import;#dbd6d0;;
Transmission Losses;Transmission Losses;#79577c;;
Grid;Grid;#7f7f7f;;
Storage;Storage;#9500da;;
Storage|Battery;Battery storage;#9500da;;
Biomass;Biomass;#005900;;
Gases|w/ CCS;Gases w/ CCS;#e5e5b2;;
Gases|w/o CCS;Gases w/o CCS;#999959;;
Electricity|w/ CCS;Electricity w/ CCS;#b2b2b2;;
Electricity|w/o CCS;Electricity w/o CCS;#0c0c0c;;
Liquids|w/ CCS;Liquids w/ CCS;#00ccff;;
Liquids|w/o CCS;Liquids w/o CCS;#0000cc;;
Hydrogen|w/ CCS;Hydrogen w/ CCS;#ff7b00;;
Hydrogen|w/o CCS;Hydrogen w/o CCS;#ab7bb8;;
Other;Other;#ff6666;;
Gases;Gases;#999959;;
Solar|CSP;Solar CSP;#ffb400;;
Solar|PV;Solar PV;#ffe600;;
Electricity;Electricity;#ffb200;;
Heat;Heat;#cc0000;;
Solids;Solids;#0c0c0c;;
Liquids;Liquids;#0000cc;;
Hydrogen;Hydrogen;#66cccc;;
CO2|Land-Use Change;CO2|Land-Use Change;#007f00;;
CO2|Gross Fossil Fuels and Industry;CO2|Gross FF & I;#000000;;
CO2|Carbon Capture and Storage|Biomass;CO2|CCS|Biomass;#666666;;
CH4|Energy Supply and Demand;CH4|Energy Supply and Demand;#cc0000;;
CH4|Land Use;CH4|Land Use;#ff9900;;
CH4|Other;CH4|Other;#cc00cc;;
CH4|Waste;CH4|Waste;#bcbc6d;;
N2O|Land Use;N2O|Land Use;#00ff66;;
N2O|Energy Supply and Demand;N2O|Energy Supply and Demand;#0000cc;;
N2O|Other;N2O|Other;#00cccc;;
Emissions|CO2|Energy|Supply|Gross;Supply Gros;#661a00;;
Emissions|CO2|Energy|Gross;Energy (gross);#BBBBBB;;
Emissions|CO2|Energy|Supply|Non-Elec;Supply Non-Electr;#661a00;;
Emissions|CO2|Energy|Supply|Electricity|Gross;Supply Electricity;#993a44;;
Carbon Sequestration|CCS|Biomass|Neg;Supply BECCS;#00aa00;;
Emissions|CO2|Energy|Demand|Industry;Industry;#7777ff;;
Emissions|CO2|Energy|Demand|Industry|Gross;Industry;#7777ff;;
Emissions|CO2|Energy|Demand|Transportation;Transport;#222288;;
Emissions|CO2|Energy|Demand|Residential and Commercial;R & C;#4444bb;;
Emissions|CO2|Industrial Processes;Process;#aa5a00;;
Emissions|CO2|Energy and Industrial Processes;Energy and Processes;#000000;;
Emissions|CO2|AFOLU|Land;Land;#116611;;
Emissions|CO2|AFOLU;Land;#116611;;
Emissions|CO2|AFOLU and BECCS;AFOLU and BECCS;#114411;;
Emissions|CO2;CO2;#333333;;
Emissions|N2O|CO2eq;N2O;#aa3333;;
Emissions|CH4|CO2eq;CH4;#3333aa;;
Final Energy|Industry|Electricity;Electricity;#ffb200;;
FE|Industry|Electricity;Electricity;#ffb200;;
Final Energy|Industry|Gases;Gases;#999966;;
FE|Industry|Gases;Gases;#999966;;
Final Energy|Industry|Geothermal;Geothermal;#660000;;
FE|Industry|Geothermal;Geothermal;#660000;;
Final Energy|Industry|Heat;Heat;#cc0000;;
FE|Industry|Heat;Heat;#cc0000;;
Final Energy|Industry|Hydrogen;Hydrogen;#66cccc;;
FE|Industry|Hydrogen;Hydrogen;#66cccc;;
Final Energy|Industry|Liquids;Liquids;#0000cc;;
FE|Industry|Liquids;Liquids;#0000cc;;
Final Energy|Industry|Other;Other;#7f7f7f;;
FE|Industry|Other;Other;#7f7f7f;;
Final Energy|Residential and Commercial|Electricity;Electricity;#ffb200;;
FE|Residential and Commercial|Electricity;Electricity;#ffb200;;
Final Energy|Residential and Commercial|Gases;Gases;#999966;;
FE|Residential and Commercial|Gases;Gases;#999966;;
Final Energy|Residential and Commercial|Geothermal;Geothermal;#660000;;
FE|Residential and Commercial|Geothermal;Geothermal;#660000;;
Final Energy|Residential and Commercial|Heat;Heat;#cc0000;;
FE|Residential and Commercial|Heat;Heat;#cc0000;;
Final Energy|Residential and Commercial|Hydrogen;Hydrogen;#66cccc;;
FE|Residential and Commercial|Hydrogen;Hydrogen;#66cccc;;
Final Energy|Residential and Commercial|Liquids;Liquids;#0000cc;;
FE|Residential and Commercial|Liquids;Liquids;#0000cc;;
Final Energy|Residential and Commercial|Other;Other;#7f7f7f;;
FE|Residential and Commercial|Other;Other;#7f7f7f;;
non-Heating|Electricity|Conventional;non-heating Electricity;#ffb200;;
Heating|Solids;Solids;#191919;;
Heating|Liquids;Liquids;#0000cc;;
Heating|Gases;Gases;#999966;;
Heating|District Heating;District heating;#cc0000;;
Heating|Electricity|Resistance;Resistive electric heating;#f58231;;
Heating|Electricity|Heat pump;Heat pumps;#3cb44b;;
Heating|Hydrogen;Hydrogen;#66cccc;;
Electricity|Resistance;Resistive electric heating;#f58231;;
Electricity|Heat pump;Heat pumps;#3cb44b;;
BAU_Nash;BAU Nash;#0c0c0c;;
BAU_Nash_l;BAU Nash low;#0c0c0c;;
BAU_Nash_m2;BAU Nash m2;#0c0c0c;;
BAU_Nash_h;BAU Nash high;#0c0c0c;;
DET_CHN_BAU_l;LTA BAU low;#00009950;;
DET_CHN_BAU_m2;LTA BAU m2;#00990050;;
DET_CHN_BAU_h;LTA BAU high;#99000050;;
DET_CHN_BAU_bg;BG BAU;#00000050;;
DET_CHN_T50_abs_l;LTA T50 QUAN low;#000099FF;;
DET_CHN_T50_abs_m2;LTA T50 QUAN m2;#009900FF;;
DET_CHN_T50_abs_h;LTA T50 QUAN high;#990000FF;;
DET_CHN_T50_abs_bg;BG T50 QUAN;#00000050;;
DET_CHN_T50_int_l;LTA T50 INT low;#00009960;;
DET_CHN_T50_int_m2;LTA T50 INT m2;#00990060;;
DET_CHN_T50_int_h;LTA T50 INT high;#99000060;;
DET_CHN_T50_int_bg;BG T50 INT;#00000050;;
DET_CHN_T30_abs_l;LTA-L T30 QUAN;#000099FF;;
DET_CHN_T30_abs_m2;LTA T30 QUAN m2;#009900FF;;
DET_CHN_T30_abs_h;LTA-H T30 QUAN;#990000FF;;
DET_CHN_T30_abs_bg;LTA-BG T30 QUAN;#00000050;;
DET_CHN_T30_int_l;LTA T30 INT low;#00009960;;
DET_CHN_T30_int_m2;LTA T30 INT m2;#00990060;;
DET_CHN_T30_int_h;LTA T30 INT high;#99000060;;
DET_CHN_T30_int_bg;BG T30 INT;#00000050;;
R17IH_m2-Ref;R17IH m2-Ref;violet;;
NL_CHN_BAU;NL BAU;#00000075;;
NL_CHN_BAU_l;NL BAU low;#00009950;;
NL_CHN_BAU_m2;NL BAU m2;#00990050;;
NL_CHN_BAU_h;NL BAU high;#99000050;;
NL_CHN_T50_abs;NL T50 QUAN;orange1;;
NL_CHN_T50_abs_L;ATL T50 QUAN;violet;;
NL_CHN_T50_abs_L_l;ATL T50 QUAN low;#000099FF;;
NL_CHN_T50_abs_L_m2;ATL T50 QUAN m2;#009900FF;;
NL_CHN_T50_abs_L_h;ATL T50 QUAN high;#990000FF;;
NL_CHN_T50_abs_l;NL T50 QUAN low;#000099FF;;
NL_CHN_T50_abs_m2;NL T50 QUAN m2;#009900FF;;
NL_CHN_T50_abs_h;NL T50 QUAN high;#990000FF;;
NL_CHN_T50_int;NL T50 INT;#00000075;;
NL_CHN_T50_int_L;ATL T50 INT;violet;;
NL_CHN_T50_int_L_l;ATL T50 INT low;#00009960;;
NL_CHN_T50_int_L_m2;ATL T50 INT m2;#00990060;;
NL_CHN_T50_int_L_h;ATL T50 INT high;#99000060;;
NL_CHN_T50_int_l;NL T50 INT low;#00009960;;
NL_CHN_T50_int_m2;NL T50 INT m2;#00990060;;
NL_CHN_T50_int_h;NL T50 INT high;#99000060;;
NL_CHN_T30_abs;NL T30 QUAN;orange1;;
NL_CHN_T30_abs_L;ATL T30 QUAN;violet;;
NL_CHN_T30_abs_L_l;ATL T30 QUAN low;#000099FF;;
NL_CHN_T30_abs_L_m2;ATL T30 QUAN m2;#009900FF;;
NL_CHN_T30_abs_L_h;ATL T30 QUAN high;#990000FF;;
NL_CHN_T30_abs_l;NL T30 QUAN low;#000099FF;;
NL_CHN_T30_abs_m2;NL T30 QUAN m2;#009900FF;;
NL_CHN_T30_abs_h;NL T30 QUAN high;#990000FF;;
NL_CHN_T30_int;NL T30 INT;#00000075;;
NL_CHN_T30_int_L;ATL T30 INT;violet;;
NL_CHN_T30_int_L_l;ATL T30 INT low;#00009960;;
NL_CHN_T30_int_L_m2;ATL T30 INT m2;#00990060;;
NL_CHN_T30_int_L_h;ATL T30 INT high;#99000060;;
NL_CHN_T30_int_l;NL T30 INT low;#00009960;;
NL_CHN_T30_int_m2;NL T30 INT m2;#00990060;;
NL_CHN_T30_int_h;NL-High T30 INT;#99000060;;
LTA_BAU_l;Base-Low;#00009940;;
LTA_BAU_h;Base-High;#99000040;;
BG_BAU;BG Base;grey;;
LTA_T50_Q_l;LTA T50 Q low;#000099FF;;
LTA_T50_Q_h;LTA T50 Q high;#990000FF;;
BG_T50_Q;BG T50;black;;
LTA_T50_I_l;LTA T50 I low;#00009960;;
LTA_T50_I_h;LTA T50 I high;#99000060;;
BG_T50_I;BG T50 INT;#00000050;;
LTA_T30_Q_l;LTA-Low T30 QUAN;#000099FF;;
LTA_T30_Q_h;LTA-High T30 QUAN;brown2;;
BG_T30_Q;BG T30;black;;
LTA_T30_I_l;LTA-Low T30 INT ;#00009940;;
LTA_T30_I_h;LTA-High T30 INT ;#99000040;;
BG_T30_I;BG T30 INT;black;;
NL_BAU;NL Base;#00000075;;
NL_BAU_l;NL-Low BAU;#00009950;;
NL_BAU_bg;NL-BG BAU;#00000050;;
NL_BAU_h;NL-High BAU;#99000050;;
NL_T50_Q;NL T50 QUAN;orange1;;
ATL_T50_QUAN;ATL T50 QUAN;violet;;
ATL_T50_Q_l;ATL-Low T50 QUAN;#000099FF;;
ATL_T50_Q_bg;ATL-BG T50 QUAN;grey;;
ATL_T50_Q_h;ATL-High T50 QUAN;#990000FF;;
NL_T50_Q_l;NL-Low T50 QUAN;#000099FF;;
NL_T50_Q_bg;NL-BG T50 QUAN;#000000FF;;
NL_T50_Q_h;NL-High T50 QUAN;#990000FF;;
NL_T50_I;NL T50 INT;#00000075;;
ATL_T50_I;ATL T50 I;violet;;
ATL_T50_I_l;ATL T50 I low;#00009960;;
ATL_T50_I_bg;ATL T50 I bg;#00000060;;
ATL_T50_I_h;ATL T50 I high;#99000060;;
NL_T50_I_l;NL T50 I low;#00009960;;
NL_T50_I_bg;NL T50 I bg;#00000060;;
NL_T50_I_h;NL T50 I high;#99000060;;
NL_T30_Q;NL T30Q;darkorange2;;dotted
ATL_T30_Q;ATL T30 QUAN;gold;;
ATL_T30_Q_l;ATL-Low T30Q;#FF100099;;
ATL_T30_Q_bg;ATL-BG T30Q;#FF350099;;
ATL_T30_Q_h;ATL-High T30Q;#FF600099;;
NL_T30_Q_l;NL-Low T30 QUAN;#000099FF;;
NL_T30_Q_bg;NL-BG T30 QUAN;#000000FF;;
NL_T30_Q_h;NL-High T30 QUAN;#990000FF;;
NL_T30_I;NL T30I;darkgreen;;
ATL_T30_I;ATL T30 INT;green;;
ATL_T30_I_l;ATL-Low T30I;#00FF0099;;
ATL_T30_I_bg;ATL-BG T30I;#00750099;;
ATL_T30_I_h;ATL-High T30I;#00400099;;
NL_T30_I_l;NL-Low T30 INT;#00009960;;
NL_T30_I_bg;NL-BG T30 INT;#00000060;;
NL_T30_I_h;NL-High T30 INT;#99000060;;
IEA;IEA;#000000;3;
IEA.historical;IEA;#000000;3;
NL_T30_Q_t50;NL T30Q;darkorange;;
ATL_T30_Q_t50;ATL T30 QUAN;gold;;
ATL_T30_Q_t50_l;ATL-Low T30 QUAN;#000099FF;;
ATL_T30_Q_t50_bg;ATL-BG T30 QUAN;grey;;
ATL_T30_Q_t50_h;ATL-High T30 QUAN;#990000FF;;
NL_T30_Q_t50_l;NL-Low T30 QUAN;darkblue;;
NL_T30_Q_t50_bg;NL-BG T30 QUAN;red;;
NL_T30_Q_t50_h;NL-High T30 QUAN;#990000FF;;
LTA_T30_Q_t50_l;LTA-Low T30 QUAN;blue;;
LTA_T30_Q_t50_h;LTA-High T30 QUAN;brown2;;
BG_T30_Q_t50;BG T30 QUAN;black;;
ATL_T50_Q_FUQ_h;ATL-High T50 FUQ;brown;;
ATL_T50_Q_FUQ_l;ATL-Low T50 FUQ;brown;;
ATL_T50_Q_FUI_h;ATL-High T50 FUI;green4;;
ATL_T50_Q_FUI_l;ATL-Low T50 FUI;green4;;
ATL_T50_Q_FUQ_bg;ATL-BG T50 FUQ;brown;;
ATL_T50_Q_FUI_bg;ATL-BG T50 FUI;green4;;
BG_T50_Q_FUQ;ATL-BG FUQ;black;;
BG_T50_Q_FUI;ATL-BG FUI;grey;;
LTA_T50_Q_FUQ_h;ATL-High FUQ;brown2;;
LTA_T50_Q_FUQ_l;ATL-Low FUQ;#000099FF;;
LTA_T50_Q_FUI_h;ATL-High FUI;#99000060;;
LTA_T50_Q_FUI_l;ATL-Low FUI;#00009960;;
Emi|GHGtot (Mt CO2-equiv/yr);GHG Emissions (Mt CO2-equiv/yr);red;;
NL;No Learn;red;;dotted
LTA_T50_Q_FUI;FUI;red;;
LTA_T50_Q_FUQ;FUQ;blue;;
MAgPIE.SSP1-Ref;MAgPIE.SSP1-Ref;#00FF00;;
MAgPIE.SSP2-Ref;MAgPIE.SSP2-Ref;#0000FF;;
MAgPIE.SSP3-Ref;MAgPIE.SSP3-Ref;#FF0000;;
MAgPIE.SSP4-Ref;MAgPIE.SSP4-Ref;#FFB900;;
MAgPIE.SSP5-Ref;MAgPIE.SSP5-Ref;#FF00FF;;
Canadell_2007.historical;;#1b9e77;;
dietrich_et_al_2012.historical;;#d95f02;;
FAOSTAT.historical;;#7570b3;;
Harris_2013.historical;;#e7298a;;
LUH2v2.historical;;#66a61e;;
WDI.historical;;#e6ab02;21;
PRIMAPhist.historical;;#a6761d;;
Eurostat.historical;Eurostat;#944ea5;23;
CEDS.historical;CEDS;#e69202;21;
EDGE_SSP1.historical;EDGE_SSP1;#45a3d2;3;
EDGE_SSP2.historical;EDGE_SSP2;#456bd2;3;
EU_ReferenceScenario.historical;EU_ReferenceScenario;#31cc93;3;
IRENA.historical;IRENA;#335399;3;
bunkers;Bunkers;#DF0101;;
no bunkers;W/O Bunkers;#2E9AFE;;
Charger;Charger;#00aedb;;
Inconvenience cost total;Inconvenience cost total;#00b159;;
Model availability;Model availability;#f37735;;
pmod_av;Model availability;#f37735;;
Range anxiety;Range anxiety;#ffc425;;
prange;Range anxiety;#ffc425;;
Ref. stations availability;Refueling stations availability;#8c8c8c;;
pchar;Charging stations availability;#8c8c8c;;
pref;Refueling stations availability;#8c8c8c;;
Risk;Risk;#d11141;;
prisk;Risk aversion;#d11141;;
pinco_tot;Total inconvenience cost; #00b159;;
Busses;Busses;#32cd32;;
Aircraft international;Aircraft (international);#9acd32;;
Aircraft domestic;Aircraft (domestic);#7cfc00;;
Freight Trains;Freight Trains;#DBA901;;
Large Cars;Large Cars;#6495ed;;
Motorbikes;Motorbikes;#1874cd;;
Small Cars;Small Cars;#87cefa;;
Ships international;Ships (international);#cd2626;;
Ships domestic;Ships (domestic);#B45F04;;
Passenger Trains;Passenger Trains;#2e8b57;;
Trucks;Trucks;#ff6a6a;;
ICE;ICE;#8c8c8c;;
NG;NG;#d11141;;
Trucks (<3.5t);Trucks (<3.5t);#ff7f50;;
Trucks (3.5t-16);Trucks (3.5t-16);#8b0000;;
Trucks (>16) ;Trucks (>16) ;#fa8072;;
Road|LDV|Four Wheelers;Road|LDV|Four Wheelers;#A4A8A6;;
Road|LDV|Two Wheelers;Road|LDV|Two Wheelers;#7e9489;;
Road|LDV;Road|LDV;#7e8085;;
Road|Non Motorized|Walking;Road|Non Motorized|Walking;#BEF781;;
Road|Non Motorized|Cycling;Road|Non Motorized|Cycling;#01DF3A;;
Aviation|Domestic;Aviation|Domestic;#660000;;
Rail|non-HSR;Rail|non|HSR;#000066;;
Rail|HSR;Rail|HSR;#66CCFF;;
Road|Bus;Road|Bus;#FFCC33;;
Aviation|International;Aviation|International;#FF0000;;
Small;Small;#b8b4b4;;
Medium;Medium;#848484;;
Mini;Mini;#d1cfcf;;
SUV;SUV;#C4A1A1;;
Large;Large;#424242;;
Van;Van;#604343;;
BEV;BEV;#ffb200;;
Electric;Electric;#ffb200;;
FCEV;FCEV;#66cccc;;
Hybrid Electric;Hybrid Electric;#f37735;;
International Shipping;International Shipping;#660099;;
Rail;Rail;#333366;;
Road;Road;#6699CC;;
Navigation;Navigation;#666699;;
(0−3.5t);(0−3.5t);#B0EBEE;;
(7.5t);(7.5t);#2893A9;;
(40t);(40t);#172f56;;
(26t);(26t);#25467c;;
(18t);(18t);#325fa4;;
non_fuel_price;non_fuel_price;#FF8000;;
fuel_price_pkm;fuel_price_pkm;#0040FF;;
tot_VOT_price;tot_VOT_price;#04B431;;
Eq inconvenience cost;Eq inconvenience cost;#B40431;;
Lignite;Lignite;#858585;;
Hard Coal;Hard Coal;#0c0c0c;;
Hydrogen [external];Hydrogen;#88FFFF;;
Storage|Stat Batteries;Storage Batteries;#FF8C00;;
Storage|Pump Hydro;Pump Hydro;#EE82EE;;
Net Imports;Net Imports;#EE4000;;
Energy|Supply|Heat|District Heating;District Heating;#97d700;;
Energy|Supply|Electricity;Electricity;#bb29bb;;
CHP|Hard Coal;CHP|Hard Coal;#0c0c0c;;
CHP|Lignite;CHP|Lignite;orange4;;
CHP|Gas;CHP|Gas;#999959;;
CHP|Hydrogen;CHP|Hydrogen;#88FFFF;;
CHP|Oil;CHP|Oil;#663a00;;
CHP|Waste;CHP|Waste;#bcbc6d;;
CHP|Other;CHP|Other;#cc00cc;;
CHP|Other Fossil;CHP|Other Fossil;LightSalmon1;;
CHP|Biomass;CHP|Biomass;#005900;;
Heat-only|Hard Coal;Heat-only|Hard Coal;#2F4F4F;;
Heat-only|Lignite;Heat-only|Lignite;#8B7355;;
Heat-only|Gas;Heat-only|Gas;#528B8B;;
Heat-only|Oil;Heat-only|Oil;#CD5B45;;
Heat-only|Other;Heat-only|Other;#CD8162;;
Heat-only|Waste;Heat-only|Waste;#e58e73;;
Heat-only|Other Fossil;Heat-only|Other Fossil;#8B5742;;
Heat-only|Biomass;Heat-only|Biomass;#7FFF00;;
Heat-only|Heat Pump;Heat-only|Heat Pump;#00B2EE;;
Heat-only|Electric Boiler;Heat-only|Electric Boiler;#BFEFFF;;
Heat-only|Solar;Heat-only|Solar;#FFD700;;
Heat-only|Geothermal;Heat-only|Geothermal;#C71585;;
Cap|Stationary;EU ETS cap;#ff9800;;
non-ETS-covered;non ETS;#150144;;
ETS-covered;ETS;#c3406b;;